order_item_id,order_id,product_id,quantity,unit_price,discount_percent,transaction_type,quantity_abs,revenue
OI000001,O000648,P00109,5,8511.21,6.5,PURCHASE,5,39789.906749999995
OI000002,O000092,P00203,1,21779.71,40.0,PURCHASE,1,13067.826
OI000003,O000517,P00491,3,28367.71,25.4,PURCHASE,3,63486.934980000005
OI000004,O000280,P00126,3,13848.0,24.0,PURCHASE,3,31573.44
OI000005,O000662,P00473,1,227.95,0.4,PURCHASE,1,227.0382
OI000006,O000714,P00361,4,16190.13,31.5,PURCHASE,4,44360.9562
OI000007,O000032,P00457,4,10654.54,32.5,PURCHASE,4,28767.258000000005
OI000008,O000182,P00430,1,11177.37,7.7,PURCHASE,1,10316.712510000001
OI000009,O000777,P00144,3,24506.8,25.0,PURCHASE,3,55140.299999999996
OI000010,O000506,P00496,3,14835.85,28.2,PURCHASE,3,31956.4209
OI000012,O000699,P00309,5,17686.12,29.8,PURCHASE,5,62078.28119999999
OI000013,O000234,P00452,5,8302.41,33.9,PURCHASE,5,27439.465050000003
OI000014,O000695,P00273,5,16847.47,18.2,PURCHASE,5,68906.15230000002
OI000015,O000666,P00027,3,29853.68,11.0,PURCHASE,3,79709.32560000001
OI000016,O000371,P00265,1,6813.99,11.1,PURCHASE,1,6057.63711
OI000017,O000006,P00201,2,26414.94,32.3,PURCHASE,2,35765.828760000004
OI000018,O000707,P00217,1,5986.62,13.2,PURCHASE,1,5196.38616
OI000019,O000029,P00246,4,17816.67,25.1,PURCHASE,4,53378.743319999994
OI000020,O000111,P00243,2,24992.27,32.9,PURCHASE,2,33539.62634
OI000021,O000075,P00398,5,22946.55,25.0,PURCHASE,5,86049.5625
OI000022,O000063,P00470,1,26713.5,27.7,PURCHASE,1,19313.860500000003
OI000023,O000453,P00029,3,13011.99,4.1,PURCHASE,3,37435.49523
OI000024,O000391,P00206,1,12392.13,34.6,PURCHASE,1,8104.453019999998
OI000025,O000465,P00197,4,26410.15,24.8,PURCHASE,4,79441.73120000001
OI000026,O000027,P00233,5,5855.19,4.1,PURCHASE,5,28075.636049999997
OI000027,O000199,P00464,5,15316.05,14.2,PURCHASE,5,65705.8545
OI000028,O000191,P00125,2,1908.69,12.5,PURCHASE,2,3340.2075
OI000029,O000773,P00184,3,16280.2,5.8,PURCHASE,3,46007.8452
OI000030,O000299,P00189,1,19764.54,5.8,PURCHASE,1,18618.19668
OI000031,O000573,P00440,1,5942.67,8.0,PURCHASE,1,5467.2564
OI000032,O000350,P00097,4,29459.51,24.0,PURCHASE,4,89556.9104
OI000033,O000344,P00316,3,4952.17,18.2,PURCHASE,3,12152.625180000001
OI000034,O000225,P00472,1,20827.29,18.7,PURCHASE,1,16932.586769999998
OI000035,O000787,P00488,3,11339.76,16.0,PURCHASE,3,28576.1952
OI000037,O000784,P00185,1,6053.77,11.4,PURCHASE,1,5363.64022
OI000038,O000179,P00174,5,5960.03,7.0,PURCHASE,5,27714.139499999997
OI000039,O000694,P00071,4,26561.84,13.5,PURCHASE,4,91903.9664
OI000040,O000379,P00415,3,28240.74,39.1,PURCHASE,3,51595.83198
OI000041,O000729,P00034,1,27732.25,31.8,PURCHASE,1,18913.3945
OI000042,O000384,P00163,5,19120.67,36.8,PURCHASE,5,60421.3172
OI000043,O000549,P00151,2,1692.44,31.8,PURCHASE,2,2308.48816
OI000044,O000599,P00454,4,2534.09,18.8,PURCHASE,4,8230.724320000001
OI000045,O000521,P00199,5,15614.88,7.2,PURCHASE,5,72453.04319999999
OI000046,O000495,P00367,4,17477.48,25.5,PURCHASE,4,52082.8904
OI000047,O000213,P00113,2,7108.1,8.7,PURCHASE,2,12979.3906
OI000048,O000161,P00479,3,2634.29,30.1,PURCHASE,3,5524.10613
OI000049,O000236,P00299,1,18671.66,17.0,PURCHASE,1,15497.477799999999
OI000050,O000510,P00163,3,5469.02,9.4,PURCHASE,3,14864.796360000002
OI000051,O000085,P00151,5,19345.27,31.4,PURCHASE,5,66354.2761
OI000052,O000074,P00185,1,10079.36,27.0,PURCHASE,1,7357.9328000000005
OI000053,O000787,P00350,3,18160.62,5.5,PURCHASE,3,51485.3577
OI000054,O000557,P00468,-3,9054.28,32.9,RETURN,3,-18226.265640000005
OI000055,O000416,P00421,5,455.53,26.2,PURCHASE,5,1680.9056999999998
OI000056,O000408,P00117,2,6375.26,9.3,PURCHASE,2,11564.721640000002
OI000057,O000480,P00370,4,2667.69,33.8,PURCHASE,4,7064.04312
OI000058,O000428,P00108,4,16797.56,15.0,PURCHASE,4,57111.704000000005
OI000059,O000756,P00005,4,25045.54,13.6,PURCHASE,4,86557.38624
OI000060,O000414,P00391,5,17649.96,22.7,PURCHASE,5,68217.09539999999
OI000061,O000339,P00291,5,17258.97,15.6,PURCHASE,5,72832.8534
OI000062,O000066,P00274,4,3348.29,22.8,PURCHASE,4,10339.51952
OI000063,O000096,P00088,1,5411.32,33.1,PURCHASE,1,3620.17308
OI000064,O000204,P00036,4,7067.88,26.4,PURCHASE,4,20807.83872
OI000065,O000531,P00006,2,27303.39,15.6,PURCHASE,2,46088.122319999995
OI000066,O000429,P00245,1,27117.27,8.3,PURCHASE,1,24866.53659
OI000067,O000727,P00341,4,17295.23,12.4,PURCHASE,4,60602.48592
OI000068,O000470,P00142,-2,4366.49,2.6,RETURN,2,-8505.92252
OI000069,O000539,P00169,5,13860.12,23.0,PURCHASE,5,53361.46200000001
OI000070,O000468,P00178,3,24720.55,34.0,PURCHASE,3,48946.68899999999
OI000071,O000633,P00376,4,27333.91,7.3,PURCHASE,4,101354.13828
OI000072,O000045,P00123,2,18879.69,11.7,PURCHASE,2,33341.53254
OI000073,O000740,P00462,2,12397.22,30.5,PURCHASE,2,17232.1358
OI000074,O000774,P00054,5,9847.79,18.0,PURCHASE,5,40375.939000000006
OI000075,O000474,P00014,1,20301.1,18.5,PURCHASE,1,16545.3965
OI000076,O000200,P00204,-1,3529.01,36.7,RETURN,1,-2233.86333
OI000077,O000497,P00237,1,19744.98,28.5,PURCHASE,1,14117.6607
OI000078,O000286,P00431,2,640.18,4.0,PURCHASE,2,1229.1455999999998
OI000079,O000401,P00087,1,435.2,10.9,PURCHASE,1,387.7632
OI000080,O000732,P00018,5,20932.6,33.5,PURCHASE,5,69600.895
OI000081,O000734,P00338,1,9318.9,100.0,PURCHASE,1,0.0
OI000082,O000256,P00192,2,579.55,1.1,PURCHASE,2,1146.3499
OI000083,O000697,P00343,1,26480.35,31.9,PURCHASE,1,18033.11835
OI000084,O000172,P00023,4,24487.17,12.9,PURCHASE,4,85313.30028
OI000085,O000555,P00203,4,6492.02,14.3,PURCHASE,4,22254.64456
OI000086,O000324,P00007,4,6680.88,26.3,PURCHASE,4,19695.23424
OI000087,O000045,P00035,2,23049.6,20.0,PURCHASE,2,36879.36
OI000088,O000583,P00088,3,18036.03,39.3,PURCHASE,3,32843.610629999996
OI000089,O000790,P00356,2,19097.07,35.4,PURCHASE,2,24673.41444
OI000090,O000494,P00035,-3,27371.89,18.0,RETURN,3,-67334.8494
OI000091,O000516,P00301,1,18528.83,35.9,PURCHASE,1,11876.98003
OI000092,O000776,P00125,5,4212.91,19.9,PURCHASE,5,16872.70455
OI000093,O000658,P00020,2,17982.45,37.8,PURCHASE,2,22370.167800000007
OI000094,O000285,P00163,1,29329.27,25.9,PURCHASE,1,21732.98907
OI000095,O000751,P00170,3,16225.42,36.3,PURCHASE,3,31006.77762
OI000096,O000704,P00357,2,11506.43,12.9,PURCHASE,2,20044.20106
OI000098,O000563,P00426,2,2437.12,29.0,PURCHASE,2,3460.7103999999995
OI000099,O000251,P00218,2,9162.71,23.1,PURCHASE,2,14092.247979999998
OI000100,O000493,P00041,3,5116.2,17.7,PURCHASE,3,12631.897799999999
OI000101,O000779,P00080,-4,11504.44,34.2,RETURN,4,-30279.686079999996
OI000102,O000610,P00276,2,5353.41,15.2,PURCHASE,2,9079.38336
OI000103,O000576,P00311,4,4186.02,18.8,PURCHASE,4,13596.192960000002
OI000104,O000014,P00442,5,11290.31,16.2,PURCHASE,5,47306.39889999999
OI000105,O000761,P00192,4,19267.36,23.5,PURCHASE,4,58958.121600000006
OI000106,O000128,P00198,5,22912.23,38.3,PURCHASE,5,70684.22954999999
OI000107,O000357,P00261,4,11108.6,2.3,PURCHASE,4,43412.4088
OI000108,O000253,P00125,4,24412.48,25.2,PURCHASE,4,73042.14016
OI000109,O000661,P00076,3,28333.53,5.9,PURCHASE,3,79985.55519
OI000110,O000679,P00431,-2,23152.07,25.8,RETURN,2,-34357.67188
OI000111,O000601,P00499,1,5745.82,16.9,PURCHASE,1,4774.776419999999
OI000112,O000310,P00257,5,11545.38,12.3,PURCHASE,5,50626.491299999994
OI000113,O000746,P00446,1,17221.09,31.9,PURCHASE,1,11727.562290000002
OI000114,O000215,P00477,4,291.97,6.7,PURCHASE,4,1089.6320400000002
OI000115,O000793,P00357,4,19670.18,29.3,PURCHASE,4,55627.26904000001
OI000116,O000721,P00069,2,15128.15,4.4,PURCHASE,2,28925.0228
OI000117,O000206,P00031,2,5837.36,39.3,PURCHASE,2,7086.555039999999
OI000118,O000640,P00056,2,2662.64,5.0,PURCHASE,2,5059.016
OI000119,O000241,P00245,4,3114.19,2.4,PURCHASE,4,12157.79776
OI000121,O000498,P00243,3,10162.85,27.3,PURCHASE,3,22165.175850000003
OI000122,O000246,P00482,3,11415.23,2.3,PURCHASE,3,33458.039130000005
OI000123,O000103,P00002,4,12114.07,33.4,PURCHASE,4,32271.88248
OI000124,O000126,P00445,5,21008.01,32.6,PURCHASE,5,70796.99369999999
OI000125,O000675,P00446,4,19840.83,0.1,PURCHASE,4,79283.95668
OI000126,O000330,P00009,3,29090.97,29.4,PURCHASE,3,61614.67446
OI000127,O000497,P00205,5,10515.19,37.6,PURCHASE,5,32807.3928
OI000128,O000675,P00439,1,8886.5,7.8,PURCHASE,1,8193.353000000001
OI000129,O000586,P00402,5,14987.96,3.5,PURCHASE,5,72316.90699999999
OI000130,O000479,P00087,4,14516.84,21.6,PURCHASE,4,45524.81024
OI000131,O000676,P00359,1,29801.51,1.2,PURCHASE,1,29443.89188
OI000132,O000393,P00393,3,7803.09,19.1,PURCHASE,3,18938.09943
OI000133,O000140,P00473,5,14809.57,31.8,PURCHASE,5,50500.6337
OI000134,O000590,P00393,5,10362.45,36.4,PURCHASE,5,32952.591
OI000135,O000670,P00329,5,13165.17,9.3,PURCHASE,5,59704.04595000001
OI000136,O000115,P00046,3,28122.6,29.8,PURCHASE,3,59226.19559999999
OI000137,O000321,P00489,4,150.19,2.5,PURCHASE,4,585.741
OI000138,O000434,P00164,3,28024.36,5.1,PURCHASE,3,79785.35292
OI000139,O000110,P00203,1,13872.02,5.8,PURCHASE,1,13067.44284
OI000140,O000512,P00349,4,8573.45,29.9,PURCHASE,4,24039.953800000003
OI000141,O000036,P00307,3,29711.02,4.9,PURCHASE,3,84765.54006
OI000142,O000490,P00324,2,21153.8,15.1,PURCHASE,2,35919.1524
OI000143,O000734,P00108,2,1671.73,34.6,PURCHASE,2,2186.6228399999995
OI000144,O000402,P00154,2,16483.49,13.5,PURCHASE,2,28516.437700000002
OI000145,O000776,P00201,4,21829.96,11.3,PURCHASE,4,77452.69808
OI000146,O000562,P00202,1,22592.77,23.2,PURCHASE,1,17351.24736
OI000147,O000727,P00156,4,17357.01,17.7,PURCHASE,4,57139.27691999999
OI000148,O000215,P00112,2,373.06,29.0,PURCHASE,2,529.7452
OI000149,O000152,P00193,4,5129.87,2.3,PURCHASE,4,20047.53196
OI000150,O000054,P00061,5,17842.43,38.8,PURCHASE,5,54597.83580000001
OI000151,O000035,P00061,2,9150.42,23.8,PURCHASE,2,13945.24008
OI000152,O000795,P00355,1,25960.38,26.0,PURCHASE,1,19210.6812
OI000153,O000377,P00006,1,3749.34,25.7,PURCHASE,1,2785.7596200000003
OI000154,O000601,P00294,5,20842.4,3.8,PURCHASE,5,100251.944
OI000155,O000661,P00360,4,3844.57,13.0,PURCHASE,4,13379.1036
OI000156,O000551,P00095,4,690.42,22.2,PURCHASE,4,2148.58704
OI000157,O000501,P00033,5,16215.56,32.8,PURCHASE,5,54484.2816
OI000158,O000213,P00495,1,18013.17,7.2,PURCHASE,1,16716.221759999997
OI000159,O000126,P00021,2,19613.95,3.5,PURCHASE,2,37854.9235
OI000160,O000087,P00064,5,28991.66,6.9,PURCHASE,5,134956.1773
OI000161,O000255,P00154,1,15631.35,31.3,PURCHASE,1,10738.73745
OI000162,O000591,P00252,3,29581.98,14.1,PURCHASE,3,76232.76246
OI000163,O000102,P00340,1,5723.4,12.0,PURCHASE,1,5036.592
OI000164,O000617,P00283,2,8394.13,29.2,PURCHASE,2,11886.088079999998
OI000165,O000267,P00196,2,2589.3,10.2,PURCHASE,2,4650.3828
OI000166,O000549,P00105,1,8155.05,25.3,PURCHASE,1,6091.82235
OI000167,O000578,P00337,5,12648.63,6.1,PURCHASE,5,59385.31785
OI000168,O000027,P00494,5,8176.74,21.3,PURCHASE,5,32175.4719
OI000169,O000338,P00328,1,10072.17,10.9,PURCHASE,1,8974.30347
OI000170,O000011,P00051,4,6744.54,38.1,PURCHASE,4,16699.48104
OI000171,O000540,P00373,3,24223.27,3.8,PURCHASE,3,69908.35721999999
OI000172,O000289,P00283,3,26907.45,6.8,PURCHASE,3,75233.2302
OI000173,O000354,P00413,5,26472.43,16.1,PURCHASE,5,111051.84384999999
