order_id,customer_id,order_date,status,region_code,is_guest_order
O000001,C00495,2024-01-06 19:23:10,PLACED,SOUTH,0
O000002,C00487,2023-01-11 22:24:59,DELIVERED,CENTRAL,0
O000003,C00347,2023-01-04 04:52:25,SHIPPED,EAST,0
O000004,C00053,2023-10-25 21:53:56,DELIVERED,NORTH,0
O000005,C00153,2023-08-14 21:25:22,DELIVERED,CENTRAL,0
O000006,C00455,2024-06-17 10:30:35,DELIVERED,WEST,0
O000007,C00097,2023-05-09 01:39:04,CANCELLED,WEST,0
O000008,UNKNOWN,2023-06-24 05:39:11,SHIPPED,NORTH,1
O000009,C00087,2023-04-06 15:54:20,DELIVERED,NORTH,0
O000010,C00328,2023-07-18 16:15:20,DELIVERED,CENTRAL,0
O000011,C00339,2023-03-25 23:22:50,PLACED,NORTH,0
O000012,C00195,2023-04-06 23:58:44,DELIVERED,SOUTH,0
O000013,C00352,2024-05-04 00:00:00,DELIVERED,NORTH,0
O000014,C00139,2024-04-28 17:47:31,SHIPPED,NORTH,0
O000015,C00317,2023-04-02 10:43:53,DELIVERED,WEST,0
O000016,C00103,2024-08-27 06:12:19,DELIVERED,SOUTH,0
O000017,C00210,2023-08-18 09:44:43,DELIVERED,SOUTH,0
O000018,C00247,2023-09-14 18:53:53,PLACED,NORTH,0
O000019,C00428,2024-03-21 22:58:59,SHIPPED,NORTH,0
O000020,C00039,2024-07-16 00:12:12,CANCELLED,SOUTH,0
O000021,C00152,2023-07-25 03:38:50,PLACED,SOUTH,0
O000022,C00437,2023-08-14 16:33:53,DELIVERED,WEST,0
O000023,C00049,2024-10-23 04:22:25,PLACED,SOUTH,0
O000024,C00088,2023-09-13 06:40:54,DELIVERED,CENTRAL,0
O000025,C00376,2023-03-14 04:44:17,DELIVERED,NORTH,0
O000026,C00493,2023-12-21 14:29:52,DELIVERED,WEST,0
O000027,C00333,2024-11-19 06:32:47,SHIPPED,NORTH,0
O000028,C00433,2023-05-04 19:20:44,CANCELLED,WEST,0
O000029,C00348,2023-12-07 07:56:48,DELIVERED,EAST,0
O000030,C00442,2024-06-15 15:20:10,DELIVERED,SOUTH,0
O000031,C00250,2023-03-29 17:18:25,DELIVERED,NORTH,0
O000032,C00161,2023-01-10 14:24:39,DELIVERED,CENTRAL,0
O000033,C00115,2024-06-04 06:48:13,DELIVERED,CENTRAL,0
