product_id,product_name,category,subcategory,cost_price
P00001,Catch Kid Development,Clothing,Kids,19620.04
P00002,Similar Kid Age,Clothing,Kids,14281.96
P00003,Perform Academic Mother,Books,Academic,19464.19
P00004,Condition Non-Fiction Candidate,Books,Non-Fiction,20041.42
P00005,Hit Kid Seek,Clothing,Kids,9311.74
P00006,Rather Accessorie Structure,Electronics,Accessories,7162.32
P00007,Always Kid How,Clothing,Kids,12858.15
P00008,Under Fiction Push,Books,Fiction,5589.85
P00009,Especially Comic Spend,Books,Comics,10401.68
P00010,Nor Children Price,Books,Children,9684.84
P00011,Anything Headphone Phone,Electronics,Headphones,8001.19
P00012,Anything Headphone Recently,Electronics,Headphones,3483.11
P00013,Box Bedding Ready,Home,Bedding,3512.88
P00014,Think Academic Again,Books,Academic,22651.14
P00015,Anything Headphone Road,Electronics,Headphones,3780.51
P00016,Business Fiction Keep,Books,Fiction,5979.12
P00017,Life Mobile Husband,Electronics,Mobiles,15991.85
P00018,Candidate Fiction Officer,Books,Fiction,14938.64
P00019,Entire Accessorie Matter,Electronics,Accessories,17977.68
P00020,Science Bedding Claim,Home,Bedding,14288.06
P00021,Describe Men Run,Clothing,Men,9047.06
P00022,Rich Camera Professor,Electronics,Cameras,1136.18
P00023,Act Comic Fish,Books,Comics,455.24
P00024,Kitchen Headphone Recently,Electronics,Headphones,16444.75
P00025,Blood Accessorie Recognize,Electronics,Accessories,8346.34
P00026,Nature Headphone Expect,Electronics,Headphones,20347.05
P00027,Prevent Footwear Police,Clothing,Footwear,11989.35
P00028,School Women Certain,Clothing,Women,11469.11
P00029,Kid Furniture Then,Home,Furniture,1095.55
P00030,Way Storage Book,Home,Storage,20394.38
P00031,Much Comic Serve,Books,Comics,7188.47
P00032,Prepare Headphone Buy,Electronics,Headphones,19993.59
P00033,Fear Academic Build,Books,Academic,22371.21
P00034,Still Comic Born,Books,Comics,12430.27
P00035,Modern Comic Decide,Books,Comics,13005.93
P00036,Politics Camera Decision,Electronics,Cameras,20567.41
P00037,Star Decor Everyone,Home,Decor,7426.22
P00038,Theory Children Necessary,Books,Children,4207.79
P00039,Defense Comic Help,Books,Comics,18184.02
P00040,Score Storage It,Home,Storage,6900.16
P00041,Find Mobile College,Electronics,Mobiles,10184.95
P00042,Among Men Official,Clothing,Men,19543.73
P00043,Model Laptop Whether,Electronics,Laptops,9189.9
P00044,Despite Children Rise,Books,Children,11275.57
P00045,Worker Decor Medical,Home,Decor,1968.29
P00046,Give Winterwear Easy,Clothing,Winterwear,7893.92
P00047,Able Furniture Add,Home,Furniture,696.54
P00048,Remain Footwear Behind,Clothing,Footwear,22842.89
P00049,What Headphone Bring,Electronics,Headphones,17615.74
P00050,Thing Winterwear Painting,Clothing,Winterwear,22916.15
