order_item_id,order_id,product_id,quantity,unit_price,discount_percent
OI000001,O000648,P00109,5,8511.21,6.5
OI000002,O000092,P00203,1,21779.71,40.0
OI000003,O000517,P00491,3,28367.71,25.4
OI000004,O000280,P00126,3,13848.0,24.0
OI000005,O000662,P00473,1,227.95,0.4
OI000006,O000714,P00361,4,16190.13,31.5
OI000007,O000032,P00457,4,10654.54,32.5
OI000008,O000182,P00430,1,11177.37,7.7
OI000009,O000777,P00144,3,24506.8,25.0
OI000010,O000506,P00496,3,14835.85,28.2
OI000011,O900007,P00057,3,14870.94,22.1
OI000012,O000699,P00309,5,17686.12,29.8
OI000013,O000234,P00452,5,8302.41,33.9
OI000014,O000695,P00273,5,16847.47,18.2
OI000015,O000666,P00027,3,29853.68,11.0
OI000016,O000371,P00265,1,6813.99,11.1
OI000017,O000006,P00201,2,26414.94,32.3
OI000018,O000707,P00217,1,5986.62,13.2
OI000019,O000029,P00246,4,17816.67,25.1
OI000020,O000111,P00243,2,24992.27,32.9
OI000021,O000075,P00398,5,22946.55,25.0
OI000022,O000063,P00470,1,26713.5,27.7
OI000023,O000453,P00029,3,13011.99,4.1
OI000024,O000391,P00206,1,12392.13,34.6
OI000025,O000465,P00197,4,26410.15,24.8
OI000026,O000027,P00233,5,5855.19,4.1
OI000027,O000199,P00464,5,15316.05,14.2
OI000028,O000191,P00125,2,1908.69,12.5
OI000029,O000773,P00184,3,16280.2,5.8
OI000030,O000299,P00189,1,19764.54,5.8
OI000031,O000573,P00440,1,5942.67,8.0
OI000032,O000350,P00097,4,29459.51,24.0
OI000033,O000344,P00316,3,4952.17,18.2
OI000034,O000225,P00472,1,20827.29,18.7
OI000035,O000787,P00488,3,11339.76,16.0
OI000036,O900001,P00038,3,3544.16,11.6
OI000037,O000784,P00185,1,6053.77,11.4
OI000038,O000179,P00174,5,5960.03,7.0
OI000039,O000694,P00071,4,26561.84,13.5
OI000040,O000379,P00415,3,28240.74,39.1
OI000041,O000729,P00034,1,27732.25,31.8
OI000042,O000384,P00163,5,19120.67,36.8
OI000043,O000549,P00151,2,1692.44,31.8
OI000044,O000599,P00454,4,2534.09,18.8
OI000045,O000521,P00199,5,15614.88,7.2
OI000046,O000495,P00367,4,17477.48,25.5
OI000047,O000213,P00113,2,7108.1,8.7
OI000048,O000161,P00479,3,2634.29,30.1
OI000049,O000236,P00299,1,18671.66,17.0
OI000050,O000510,P00163,3,5469.02,9.4
OI000051,O000085,P00151,5,19345.27,31.4
OI000052,O000074,P00185,1,10079.36,27.0
OI000053,O000787,P00350,3,18160.62,5.5
OI000054,O000557,P00468,-3,9054.28,32.9
OI000055,O000416,P00421,5,455.53,26.2
OI000056,O000408,P00117,2,6375.26,9.3
OI000057,O000480,P00370,4,2667.69,33.8
OI000058,O000428,P00108,4,16797.56,15.0
OI000059,O000756,P00005,4,25045.54,13.6
OI000060,O000414,P00391,5,17649.96,22.7
OI000061,O000339,P00291,5,17258.97,15.6
OI000062,O000066,P00274,4,3348.29,22.8
OI000063,O000096,P00088,1,5411.32,33.1
OI000064,O000204,P00036,4,7067.88,26.4
OI000065,O000531,P00006,2,27303.39,15.6
OI000066,O000429,P00245,1,27117.27,8.3
OI000067,O000727,P00341,4,17295.23,12.4
OI000068,O000470,P00142,-2,4366.49,2.6
OI000069,O000539,P00169,5,13860.12,23.0
OI000070,O000468,P00178,3,24720.55,34.0
OI000071,O000633,P00376,4,27333.91,7.3
OI000072,O000045,P00123,2,18879.69,11.7
OI000073,O000740,P00462,2,12397.22,30.5
OI000074,O000774,P00054,5,9847.79,18.0
OI000075,O000474,P00014,1,20301.1,18.5
OI000076,O000200,P00204,-1,3529.01,36.7
OI000077,O000497,P00237,1,19744.98,28.5
OI000078,O000286,P00431,2,640.18,4.0
OI000079,O000401,P00087,1,435.2,10.9
OI000080,O000732,P00018,5,20932.6,33.5
OI000081,O000734,P00338,1,9318.9,138.8
OI000082,O000256,P00192,2,579.55,1.1
OI000083,O000697,P00343,1,26480.35,31.9
OI000084,O000172,P00023,4,24487.17,12.9
OI000085,O000555,P00203,4,6492.02,14.3
OI000086,O000324,P00007,4,6680.88,26.3
OI000087,O000045,P00035,2,23049.6,20.0
