order_id,customer_id,order_date,status,region_code
O000001,C00495,2024-01-06 19:23:10,PLACED,SOUTH
O000002,C00487,2023-01-11 22:24:59,DELIVERED,CENTRAL
O000003,C00347,2023-01-04 04:52:25,SHIPPED,EAST
O000004,C00053,2023-10-25 21:53:56,DELIVERED,NORTH
O000005,C00153,2023-08-14 21:25:22,DELIVERED,CENTRAL
O000006,C00455,2024-06-17 10:30:35,DELIVERED,WEST
O000007,C00097,2023-05-09 01:39:04,CANCELLED,WEST
O000008,,2023-06-24 05:39:11,SHIPPED,NORTH
O000009,C00087,2023-04-06 15:54:20,DELIVERED,NORTH
O000010,C00328,2023-07-18 16:15:20,DELIVERED,CENTRAL
O000011,C00339,2023-03-25 23:22:50,PLACED,NORTH
O000012,C00195,2023-04-06 23:58:44,DELIVERED,SOUTH
O000013,C00352,04-05-2024,DELIVERED,NORTH
O000014,C00139,2024-04-28 17:47:31,SHIPPED,NORTH
O000015,C00317,2023-04-02 10:43:53,DELIVERED,WEST
O000016,C00103,2024-08-27 06:12:19,DELIVERED,SOUTH
O000017,C00210,2023-08-18 09:44:43,DELIVERED,SOUTH
O000018,C00247,2023-09-14 18:53:53,PLACED,NORTH
O000019,C00428,2024-03-21 22:58:59,SHIPPED,NORTH
O000020,C00039,2024-07-16 00:12:12,CANCELLED,SOUTH
O000021,C00152,2023-07-25 03:38:50,PLACED,SOUTH
O000022,C00437,2023-08-14 16:33:53,DELIVERED,WEST
O000023,C00049,2024-10-23 04:22:25,PLACED,SOUTH
O000024,C00088,2023-09-13 06:40:54,DELIVERED,CENTRAL
O000025,C00376,2023-03-14 04:44:17,DELIVERED,NORTH
O000026,C00493,2023-12-21 14:29:52,DELIVERED,WEST
O000027,C00333,2024-11-19 06:32:47,SHIPPED,NORTH
O000028,C00433,2023-05-04 19:20:44,CANCELLED,WEST
O000029,C00348,2023-12-07 07:56:48,DELIVERED,EAST
O000030,C00442,2024-06-15 15:20:10,DELIVERED,SOUTH
O000031,C00250,2023-03-29 17:18:25,DELIVERED,NORTH
O000032,C00161,2023-01-10 14:24:39,DELIVERED,CENTRAL
O000033,C00115,2024-06-04 06:48:13,DELIVERED,CENTRAL
O000034,C00339,2024-07-18 09:46:28,DELIVERED,WEST
O000035,C00424,2024-03-09 16:17:27,DELIVERED,NORTH
O000036,C00081,2024-01-28 16:27:45,CANCELLED,SOUTH
O000037,C00252,2023-09-07 01:02:51,RETURNED,NORTH
O000038,C00282,2024-05-14 16:18:14,CANCELLED,NORTH
O000039,C00411,2024-03-21 02:08:43,CANCELLED,WEST
O000040,C00255,2024-08-01 20:15:40,SHIPPED,WEST
O000041,,02-03-2024,PLACED,CENTRAL
O000042,C00327,2023-08-25 14:07:02,DELIVERED,WEST
O000043,C00187,03-10-2024,SHIPPED,WEST
O000044,C00393,2024-04-26 09:07:33,DELIVERED,EAST
O000045,C00059,2023-03-17 16:21:27,SHIPPED,EAST
O000046,C00325,2024-09-13 07:27:13,DELIVERED,NORTH
O000047,,2023-05-08 12:04:40,CANCELLED,WEST
O000048,C00313,2023-06-02 04:14:27,RETURNED,WEST
O000049,C00423,2024-08-29 22:43:55,DELIVERED,WEST
O000050,,2024-05-06 20:27:28,DELIVERED,WEST
O000051,C00302,2024-01-27 14:55:26,DELIVERED,CENTRAL
O000052,C00284,2024-12-27 11:24:36,DELIVERED,CENTRAL
O000053,C00467,2023-05-18 15:17:34,SHIPPED,SOUTH
O000054,C00337,2024-04-11 10:59:21,DELIVERED,WEST
O000055,C00312,2024-12-12 09:48:15,SHIPPED,WEST
O000056,C00497,2023-08-17 11:47:32,SHIPPED,WEST
O000057,C00454,2024-08-04 07:41:16,CANCELLED,CENTRAL
O000058,C00365,2024-07-26 07:17:42,DELIVERED,SOUTH
O000059,C00366,2023-08-14 16:47:39,RETURNED,SOUTH
O000060,C00333,2023-05-19 02:40:08,DELIVERED,EAST
O000061,C00390,2023-10-01 14:11:18,DELIVERED,WEST
O000062,C00458,2024-10-15 12:38:00,CANCELLED,WEST
O000063,C00268,24-03-2023,SHIPPED,NORTH
O000064,C00385,2024-09-02 03:22:53,DELIVERED,EAST
O000065,C00032,2024-06-20 09:37:15,SHIPPED,CENTRAL
O000066,,2024-09-24 06:32:54,DELIVERED,CENTRAL
