region_code,order_date,daily_revenue,running_total
CENTRAL,2023-01-10,96566.98,96566.98
CENTRAL,2023-01-11,1310.2,97877.19
CENTRAL,2023-01-18,70908.95,168786.14
CENTRAL,2023-01-22,106341.66,275127.8
CENTRAL,2023-01-23,1892.21,277020.01
CENTRAL,2023-01-25,51897.15,328917.16
CENTRAL,2023-02-01,89343.25,418260.41
CENTRAL,2023-02-02,69769.08,488029.49
CENTRAL,2023-02-07,117289.07,605318.56
CENTRAL,2023-02-27,12429.33,617747.89
CENTRAL,2023-03-02,197414.57,815162.46
CENTRAL,2023-03-03,68030.69,883193.15
CENTRAL,2023-03-14,128727.75,1011920.9
CENTRAL,2023-03-16,53845.2,1065766.1
CENTRAL,2023-03-24,67555.55,1133321.64
CENTRAL,2023-03-31,99975.08,1233296.73
CENTRAL,2023-04-04,652.53,1233949.26
CENTRAL,2023-04-05,48480.73,1282429.98
CENTRAL,2023-04-14,50452.98,1332882.96
CENTRAL,2023-04-16,82619.18,1415502.14
CENTRAL,2023-04-24,320975.19,1736477.33
CENTRAL,2023-04-26,273701.8,2010179.14
CENTRAL,2023-05-02,126649.0,2136828.14
CENTRAL,2023-05-09,31422.57,2168250.71
CENTRAL,2023-05-10,84594.87,2252845.57
CENTRAL,2023-05-12,95078.94,2347924.51
CENTRAL,2023-05-16,186658.53,2534583.05
CENTRAL,2023-05-18,69082.63,2603665.68
CENTRAL,2023-05-20,37019.46,2640685.15
CENTRAL,2023-05-26,154352.96,2795038.11
CENTRAL,2023-05-29,31630.58,2826668.68
CENTRAL,2023-06-04,54214.74,2880883.42
CENTRAL,2023-06-09,315871.83,3196755.25
CENTRAL,2023-06-16,75982.03,3272737.28
CENTRAL,2023-07-10,75581.65,3348318.93
CENTRAL,2023-07-14,156420.55,3504739.48
CENTRAL,2023-07-18,21142.51,3525881.99
CENTRAL,2023-07-21,131046.64,3656928.64
CENTRAL,2023-07-24,84415.57,3741344.21
CENTRAL,2023-07-29,190139.06,3931483.27
CENTRAL,2023-08-01,125236.5,4056719.78
CENTRAL,2023-08-25,49310.57,4106030.34
CENTRAL,2023-09-06,6799.01,4112829.36
CENTRAL,2023-09-13,78782.69,4191612.05
CENTRAL,2023-09-16,218619.86,4410231.9
CENTRAL,2023-09-29,8974.3,4419206.21
CENTRAL,2023-09-30,19755.69,4438961.9
CENTRAL,2023-10-01,216991.27,4655953.18
CENTRAL,2023-10-04,27474.57,4683427.75
CENTRAL,2023-10-09,83860.54,4767288.29
CENTRAL,2023-10-22,148936.24,4916224.53
CENTRAL,2023-10-24,47111.21,4963335.74
CENTRAL,2023-10-26,87993.0,5051328.74
CENTRAL,2023-11-06,32651.01,5083979.75
CENTRAL,2023-11-08,114372.83,5198352.58
CENTRAL,2023-11-12,126539.82,5324892.4
CENTRAL,2023-11-17,835.13,5325727.53
CENTRAL,2023-11-19,40723.06,5366450.59
CENTRAL,2023-11-20,81646.25,5448096.84
CENTRAL,2023-11-26,104426.35,5552523.2
CENTRAL,2023-12-12,137925.82,5690449.02
CENTRAL,2023-12-13,35452.63,5725901.65
CENTRAL,2023-12-16,135996.12,5861897.77
CENTRAL,2023-12-18,47239.29,5909137.06
CENTRAL,2023-12-25,337.48,5909474.54
CENTRAL,2023-12-31,77568.86,5987043.39
CENTRAL,2024-01-10,161404.52,6148447.91
CENTRAL,2024-01-14,255448.09,6403896.0
CENTRAL,2024-01-18,285.08,6404181.09
CENTRAL,2024-01-21,26950.85,6431131.94
CENTRAL,2024-01-26,54853.44,6485985.38
CENTRAL,2024-01-27,94340.26,6580325.63
CENTRAL,2024-01-29,112444.1,6692769.73
CENTRAL,2024-02-03,88627.71,6781397.44
CENTRAL,2024-02-04,13873.09,6795270.53
CENTRAL,2024-02-08,181911.18,6977181.71
CENTRAL,2024-03-02,212918.58,7190100.29
CENTRAL,2024-03-04,-4259.88,7185840.42
CENTRAL,2024-03-05,49982.36,7235822.77
CENTRAL,2024-03-14,90618.71,7326441.49
CENTRAL,2024-03-15,162345.1,7488786.58
CENTRAL,2024-03-17,68826.11,7557612.7
CENTRAL,2024-03-19,26459.91,7584072.61
CENTRAL,2024-03-28,14873.55,7598946.15
CENTRAL,2024-03-31,52688.58,7651634.73
CENTRAL,2024-04-05,24625.0,7676259.73
CENTRAL,2024-04-14,116406.36,7792666.08
CENTRAL,2024-04-20,51460.51,7844126.6
CENTRAL,2024-04-22,133949.68,7978076.28
CENTRAL,2024-04-23,112045.46,8090121.74
CENTRAL,2024-04-30,161495.42,8251617.16
CENTRAL,2024-05-05,154669.65,8406286.81
CENTRAL,2024-05-07,79280.39,8485567.2
CENTRAL,2024-05-15,112287.95,8597855.14
CENTRAL,2024-05-19,96238.82,8694093.97
CENTRAL,2024-05-22,107173.53,8801267.5
CENTRAL,2024-05-24,51777.25,8853044.75
CENTRAL,2024-05-29,121880.25,8974925.0
CENTRAL,2024-06-03,25640.01,9000565.0
CENTRAL,2024-06-04,99907.4,9100472.4
CENTRAL,2024-06-06,113947.18,9214419.58
CENTRAL,2024-06-07,5347.15,9219766.73
CENTRAL,2024-06-11,45585.67,9265352.4
CENTRAL,2024-06-15,113926.13,9379278.53
CENTRAL,2024-06-16,188165.38,9567443.91
CENTRAL,2024-06-17,23625.45,9591069.36
CENTRAL,2024-06-19,137352.6,9728421.96
CENTRAL,2024-06-20,181447.35,9909869.31
CENTRAL,2024-06-27,85782.49,9995651.8
CENTRAL,2024-07-02,196364.82,10192016.62
CENTRAL,2024-07-05,151141.11,10343157.73
CENTRAL,2024-07-07,47250.72,10390408.46
CENTRAL,2024-07-13,43779.8,10434188.25
CENTRAL,2024-07-16,100819.08,10535007.33
CENTRAL,2024-07-17,37866.47,10572873.81
CENTRAL,2024-07-22,92072.84,10664946.65
CENTRAL,2024-07-29,76705.83,10741652.47
CENTRAL,2024-08-04,120440.31,10862092.79
CENTRAL,2024-08-07,23016.03,10885108.82
CENTRAL,2024-08-19,-30802.65,10854306.16
CENTRAL,2024-08-20,-43665.36,10810640.8
CENTRAL,2024-08-26,21299.83,10831940.63
CENTRAL,2024-08-27,28119.99,10860060.62
CENTRAL,2024-09-01,120561.55,10980622.18
CENTRAL,2024-09-04,241487.75,11222109.93
CENTRAL,2024-09-05,-68750.19,11153359.74
CENTRAL,2024-09-15,113996.67,11267356.41
CENTRAL,2024-09-17,72541.25,11339897.66
CENTRAL,2024-09-21,312541.5,11652439.16
CENTRAL,2024-09-22,107702.03,11760141.19
CENTRAL,2024-09-24,10339.52,11770480.71
CENTRAL,2024-10-06,19695.23,11790175.94
CENTRAL,2024-10-09,43246.27,11833422.22
CENTRAL,2024-10-15,62244.26,11895666.48
CENTRAL,2024-10-29,28109.59,11923776.06
CENTRAL,2024-11-08,-34343.07,11889433.0
CENTRAL,2024-11-12,171512.72,12060945.72
CENTRAL,2024-12-11,65055.39,12126001.11
CENTRAL,2024-12-17,112728.13,12238729.24
CENTRAL,2024-12-22,179490.57,12418219.81
CENTRAL,2024-12-27,34510.71,12452730.52
EAST,2023-01-01,5524.11,5524.11
EAST,2023-01-03,76716.55,82240.66
EAST,2023-01-04,15729.59,97970.25
EAST,2023-01-12,109171.25,207141.5
EAST,2023-01-13,29876.7,237018.2
EAST,2023-01-20,44392.07,281410.27
EAST,2023-01-23,227721.58,509131.85
EAST,2023-01-26,15637.28,524769.13
EAST,2023-02-01,176298.98,701068.12
EAST,2023-02-05,15126.79,716194.91
EAST,2023-02-12,114067.83,830262.74
EAST,2023-03-09,60813.69,891076.43
EAST,2023-03-12,331023.33,1222099.77
EAST,2023-03-16,114115.47,1336215.24
EAST,2023-03-17,270526.42,1606741.66
EAST,2023-03-18,170291.95,1777033.61
EAST,2023-03-27,40213.73,1817247.34
EAST,2023-03-28,70167.85,1887415.19
EAST,2023-04-12,4171.44,1891586.63
EAST,2023-04-23,153514.35,2045100.97
EAST,2023-04-27,31817.59,2076918.56
EAST,2023-05-01,90036.99,2166955.55
EAST,2023-05-06,93309.07,2260264.63
EAST,2023-05-16,67092.82,2327357.45
EAST,2023-05-19,47481.04,2374838.49
EAST,2023-05-21,54186.98,2429025.46
EAST,2023-05-23,66234.31,2495259.77
EAST,2023-06-02,20218.35,2515478.12
EAST,2023-06-07,62236.09,2577714.21
EAST,2023-06-08,194144.54,2771858.74
EAST,2023-06-09,78610.82,2850469.56
EAST,2023-06-12,228512.72,3078982.28
EAST,2023-06-13,54286.62,3133268.9
EAST,2023-06-14,123503.02,3256771.92
EAST,2023-06-19,65835.99,3322607.91
EAST,2023-06-22,109485.71,3432093.61
EAST,2023-06-23,46160.38,3478254.0
EAST,2023-07-22,18012.78,3496266.77
EAST,2023-07-30,141738.75,3638005.52
EAST,2023-08-03,-54030.38,3583975.14
EAST,2023-08-04,60164.8,3644139.94
EAST,2023-08-07,133229.88,3777369.82
EAST,2023-08-09,3521.67,3780891.49
EAST,2023-08-12,39432.32,3820323.81
EAST,2023-08-13,76420.72,3896744.53
EAST,2023-08-25,43670.75,3940415.28
EAST,2023-09-01,160035.43,4100450.7
EAST,2023-09-07,50586.69,4151037.4
EAST,2023-09-22,119342.12,4270379.51
EAST,2023-09-27,72169.08,4342548.6
EAST,2023-10-02,35414.23,4377962.82
EAST,2023-10-16,5039.18,4383002.0
EAST,2023-10-21,318150.2,4701152.2
EAST,2023-10-25,33296.67,4734448.87
EAST,2023-11-06,292892.25,5027341.12
EAST,2023-11-08,48021.32,5075362.44
EAST,2023-11-09,141355.1,5216717.54
EAST,2023-11-22,59300.76,5276018.3
EAST,2023-11-23,181802.27,5457820.57
EAST,2023-11-28,80002.97,5537823.54
EAST,2023-12-07,63776.94,5601600.48
EAST,2023-12-11,21241.35,5622841.83
EAST,2023-12-16,55140.3,5677982.13
EAST,2023-12-20,178521.03,5856503.16
EAST,2023-12-22,77420.2,5933923.36
EAST,2024-01-03,293022.33,6226945.69
EAST,2024-01-13,14008.29,6240953.98
EAST,2024-01-17,11402.03,6252356.01
EAST,2024-01-22,31632.26,6283988.28
EAST,2024-01-29,18060.05,6302048.33
EAST,2024-02-02,21702.89,6323751.22
EAST,2024-02-08,53335.56,6377086.79
EAST,2024-02-09,25116.63,6402203.42
EAST,2024-02-15,59165.87,6461369.3
EAST,2024-02-27,121221.77,6582591.06
EAST,2024-02-28,57847.0,6640438.06
EAST,2024-03-02,240320.67,6880758.73
EAST,2024-03-03,304181.03,7184939.76
EAST,2024-03-24,51758.72,7236698.49
EAST,2024-04-03,30927.91,7267626.39
EAST,2024-04-19,37698.46,7305324.85
EAST,2024-04-21,76626.17,7381951.02
EAST,2024-04-29,9911.22,7391862.24
EAST,2024-05-05,5211.83,7397074.07
EAST,2024-05-06,19614.98,7416689.05
EAST,2024-05-12,78333.54,7495022.59
EAST,2024-05-15,63920.46,7558943.05
EAST,2024-05-17,224248.88,7783191.93
EAST,2024-06-03,2752.05,7785943.98
EAST,2024-06-04,58900.52,7844844.5
EAST,2024-06-05,51374.17,7896218.67
EAST,2024-06-11,58733.89,7954952.56
EAST,2024-06-19,23203.44,7978156.0
EAST,2024-06-30,50188.63,8028344.63
EAST,2024-07-04,103082.75,8131427.38
EAST,2024-07-16,86321.57,8217748.95
EAST,2024-08-07,8002.71,8225751.66
EAST,2024-08-12,37002.58,8262754.24
EAST,2024-08-16,10971.28,8273725.52
EAST,2024-09-01,61846.34,8335571.86
EAST,2024-09-05,17396.14,8352968.01
EAST,2024-09-11,102381.1,8455349.1
EAST,2024-09-13,68200.96,8523550.06
EAST,2024-09-14,7782.9,8531332.96
EAST,2024-11-01,51952.26,8583285.22
EAST,2024-11-08,44714.24,8627999.46
EAST,2024-11-14,13442.72,8641442.18
EAST,2024-11-22,72717.67,8714159.84
EAST,2024-11-28,170381.77,8884541.61
EAST,2024-12-11,128463.55,9013005.17
EAST,2024-12-14,27413.45,9040418.61
EAST,2024-12-18,33707.92,9074126.53
EAST,2024-12-20,169113.26,9243239.8
EAST,2024-12-26,130824.99,9374064.79
NORTH,2023-01-13,40261.66,40261.66
NORTH,2023-01-19,42765.73,83027.39
NORTH,2023-01-23,135622.42,218649.81
NORTH,2023-01-30,53818.11,272467.92
NORTH,2023-02-02,217076.74,489544.66
NORTH,2023-02-07,11727.05,501271.7
NORTH,2023-02-21,69940.11,571211.81
NORTH,2023-02-22,72328.3,643540.11
NORTH,2023-02-23,136975.38,780515.49
NORTH,2023-03-01,3460.71,783976.2
NORTH,2023-03-07,29940.94,813917.14
NORTH,2023-03-12,116224.87,930142.01
NORTH,2023-03-14,31476.11,961618.12
NORTH,2023-03-24,47652.26,1009270.37
NORTH,2023-03-25,192317.51,1201587.88
NORTH,2023-03-29,98368.89,1299956.78
NORTH,2023-03-31,110140.8,1410097.58
NORTH,2023-04-02,108342.31,1518439.89
NORTH,2023-04-04,220774.92,1739214.81
NORTH,2023-04-06,119152.33,1858367.14
NORTH,2023-04-08,115928.21,1974295.35
NORTH,2023-04-25,26613.06,2000908.41
NORTH,2023-05-02,279324.23,2280232.65
NORTH,2023-05-06,65470.74,2345703.38
NORTH,2023-05-08,54465.74,2400169.13
NORTH,2023-05-15,126519.53,2526688.66
NORTH,2023-05-20,75673.05,2602361.71
NORTH,2023-05-24,27234.3,2629596.0
NORTH,2023-06-01,75910.28,2705506.29
NORTH,2023-06-04,117357.24,2822863.53
NORTH,2023-06-06,150523.09,2973386.62
NORTH,2023-06-20,367421.83,3340808.45
NORTH,2023-06-24,82752.93,3423561.38
NORTH,2023-07-10,163517.8,3587079.18
NORTH,2023-07-17,41780.84,3628860.02
NORTH,2023-07-20,38199.48,3667059.51
NORTH,2023-07-24,239342.94,3906402.45
NORTH,2023-08-03,47058.61,3953461.06
NORTH,2023-08-14,221665.87,4175126.93
