category,product_name,total_revenue,rank_in_category
Books,Southern Fiction With,418641.51,1
Books,Wait Comic Little,366634.84,2
Books,Church Fiction Believe,356531.49,3
Books,Debate Academic Stand,336265.96,4
Books,Or Academic Media,312707.39,5
Books,Hundred Children Start,293784.68,6
Books,Much Comic Serve,290497.6,7
Books,Think Academic Again,272135.34,8
Books,Ago Non-Fiction Which,269461.53,9
Books,Huge Comic Amount,255348.48,10
Books,Especially Comic Spend,252328.9,11
Books,Statement Comic Will,250817.21,12
Books,Smile Non-Fiction Site,249338.27,13
Books,Theory Children Necessary,246058.3,14
Books,Probably Comic Send,245377.89,15
Books,Enough Fiction Child,241519.1,16
Books,Case Fiction College,241322.57,17
Books,Meet Academic Half,228584.59,18
Books,Fish Children Policy,226303.18,19
Books,Cover Non-Fiction Build,223762.43,20
Books,Benefit Comic Strong,222768.27,21
Books,Act Comic Fish,215040.46,22
Books,Thing Comic Body,213865.34,23
Books,Camera Fiction Wonder,212863.48,24
Books,Church Non-Fiction History,210984.87,25
Books,Share Children Daughter,209189.52,26
Books,Above Non-Fiction Nice,205695.71,27
Books,Impact Children Keep,205396.19,28
Books,Defense Comic Help,203450.2,29
Books,Yes Children Region,201323.41,30
Books,Trouble Comic Resource,199362.74,31
Books,Pass Children Own,196825.12,32
Books,Could Comic Most,193232.1,33
Books,Music Non-Fiction Change,190790.69,34
Books,Question Non-Fiction World,184660.85,35
Books,Notice Children Marriage,183829.09,36
Books,Finally Children Discover,182581.67,37
Books,Teach Children Local,180377.29,38
Books,Modern Comic Decide,172600.9,39
Books,Lot Academic Reason,170496.22,40
Books,Business Fiction Keep,169039.17,41
Books,Argue Academic Religious,162667.48,42
Books,Role Comic Particular,160631.12,43
Books,Perform Academic Mother,157189.24,44
Books,Among Comic Rest,155587.87,45
Books,Tax Academic Contain,155275.41,46
Books,Audience Fiction Enough,153086.88,47
Books,Field Academic Room,152424.01,48
Books,Though Fiction Here,146892.52,49
Books,Bag Comic Wait,139629.44,50
Books,Various Non-Fiction Subject,138191.06,51
Books,She Children Artist,137690.66,52
Books,Mention Fiction Little,136606.3,53
Books,Important Non-Fiction Little,134578.98,54
Books,Do Academic Practice,128030.01,55
Books,Method Fiction Budget,127933.19,56
Books,Kid Comic Politics,125803.26,57
Books,True Academic Company,123258.26,58
Books,Sound Non-Fiction Energy,122153.33,59
Books,Get Comic Help,121758.21,60
Books,Allow Comic Tax,120407.49,61
Books,Develop Comic Religious,119741.06,62
Books,West Comic Quality,119240.26,63
Books,Such Children Film,112911.21,64
Books,Whole Non-Fiction Room,111704.11,65
Books,Six Comic Part,106431.89,66
Books,This Non-Fiction Short,103247.52,67
Books,Friend Comic Never,102882.01,68
Books,Center Children Respond,99897.11,69
Books,After Fiction Time,98969.78,70
Books,Daughter Fiction Friend,98601.46,71
Books,Single Academic Player,98453.86,72
Books,Baby Comic Help,95100.71,73
Books,Condition Non-Fiction Candidate,94501.73,74
Books,Focus Children Message,93969.23,75
Books,Growth Non-Fiction Hear,93943.51,76
Books,None Academic Account,93671.52,77
Books,Technology Non-Fiction Easy,91705.26,78
Books,Candidate Fiction Officer,91289.13,79
Books,Despite Children Rise,89983.58,80
Books,Real Non-Fiction Remain,89456.99,81
Books,Ball Comic Short,88748.68,82
Books,Suffer Non-Fiction Outside,87422.24,83
Books,Century Academic Skin,86214.33,84
Books,Those Children Assume,84698.11,85
Books,Soldier Academic Present,84264.8,86
Books,Adult Fiction Improve,82836.42,87
Books,Course Academic Remain,81088.52,88
Books,Cut Children Sense,79055.74,89
Books,Compare Comic Budget,78763.36,90
Books,Stage Comic Learn,73078.45,91
Books,Alone Children Her,69820.49,92
Books,Hour Comic Science,69570.32,93
Books,Wall Comic Thought,67612.86,94
Books,Evening Academic Involve,63206.56,95
Books,Success Children Safe,62927.6,96
Books,Know Comic Range,56406.48,97
Books,Nor Children Price,55460.22,98
Books,Fear Academic Build,55041.75,99
Books,Town Children The,53155.25,100
Books,Arm Children Add,52321.05,101
Books,Later Academic Concern,49063.27,102
Books,Doctor Academic Able,45829.01,103
Books,Really Children Plan,45627.77,104
Books,Under Fiction Push,43512.4,105
Books,Consumer Non-Fiction Simple,43216.05,106
Books,Board Comic International,42344.55,107
Books,Subject Comic Time,37280.6,108
Books,Protect Children Charge,36258.87,109
Books,Modern Fiction Skill,29816.61,110
Books,One Fiction Chance,28854.56,111
Books,Pm Academic Present,26699.81,112
Books,Sometimes Academic Join,26018.65,113
Books,I Children Whole,21509.85,114
Books,Paper Non-Fiction Term,18429.61,115
Books,Relationship Non-Fiction Minute,16699.48,116
Books,Scene Fiction Various,15519.54,117
Books,Thank Comic Station,13192.3,118
Books,Well Children She,10606.76,119
Books,Employee Non-Fiction Stock,10102.06,120
Books,Work Children Often,6177.14,121
Books,Daughter Comic Building,5177.07,122
Books,Still Comic Born,3448.5,123
Books,Significant Children Glass,-1623.28,124
Books,Few Non-Fiction Result,-6669.28,125
Books,Collection Comic Just,-9341.4,126
Books,Everything Academic Majority,-31513.22,127
Clothing,Lead Women This,348307.23,1
Clothing,Party Kid Particular,313705.22,2
Clothing,Here Kid Suddenly,305946.71,3
Clothing,Occur Winterwear Rule,285932.61,4
Clothing,Performance Kid Difference,284423.06,5
Clothing,Give Winterwear Easy,279163.07,6
Clothing,See Kid Rate,268082.06,7
Clothing,Page Footwear Oil,264953.37,8
Clothing,Fire Winterwear Research,222933.54,9
Clothing,On Footwear Two,216034.72,10
Clothing,Return Men Up,208542.42,11
Clothing,Public Kid Fly,207413.53,12
Clothing,Fill Women Remain,204953.44,13
Clothing,Billion Winterwear Decade,203728.71,14
Clothing,Reach Footwear Data,198658.36,15
Clothing,Perform Winterwear Significant,197837.51,16
Clothing,Build Footwear Bill,197558.08,17
Clothing,Public Footwear Future,193413.96,18
Clothing,Lead Kid Four,193148.65,19
Clothing,Full Winterwear My,189307.04,20
Clothing,Understand Footwear Throw,176626.15,21
Clothing,Sense Footwear Local,173681.42,22
Clothing,Ready Women Stage,169049.31,23
Clothing,Prevent Footwear Police,166734.98,24
Clothing,Together Women Mission,164978.16,25
Clothing,Tv Women Ground,163594.5,26
Clothing,Simply Winterwear Anything,163188.9,27
Clothing,My Winterwear Suggest,162842.44,28
Clothing,Hit Kid Seek,160987.7,29
Clothing,Left Kid I,158328.72,30
Clothing,Present Men At,157834.47,31
Clothing,Opportunity Winterwear Speak,156411.52,32
Clothing,Security Footwear Write,155204.35,33
Clothing,Million Men Full,152938.3,34
Clothing,Knowledge Kid System,150849.88,35
Clothing,Per Women Office,146188.07,36
Clothing,Wall Footwear Left,144023.38,37
Clothing,Any Women With,142574.74,38
Clothing,Firm Winterwear Threat,142031.61,39
Clothing,Pattern Kid Throughout,137106.57,40
Clothing,Themselves Footwear Property,134707.32,41
Clothing,Act Men Building,131493.83,42
Clothing,Of Footwear Not,128733.47,43
Clothing,Real Kid Former,126063.63,44
Clothing,Six Kid Enter,125516.45,45
Clothing,Maintain Winterwear Like,125046.89,46
Clothing,Teacher Women Guess,124603.54,47
Clothing,Recently Women Fish,116539.05,48
Clothing,I Winterwear Check,113812.86,49
Clothing,Like Men Effect,113724.39,50
Clothing,Option Winterwear Than,112287.95,51
Clothing,Meeting Footwear Wife,110780.14,52
Clothing,Approach Footwear Staff,109414.55,53
Clothing,Road Women Today,107681.36,54
Clothing,Loss Footwear Expert,106543.05,55
Clothing,Voice Women Movie,105855.86,56
Clothing,Describe Men Run,104799.6,57
Clothing,Pay Women Answer,103711.36,58
Clothing,Nice Kid May,101022.15,59
Clothing,Several Kid Blood,100266.27,60
Clothing,Today Women Son,98041.53,61
Clothing,Offer Men Find,95042.48,62
Clothing,Traditional Men Former,94172.41,63
Clothing,Red Men Anyone,92526.3,64
Clothing,Glass Men Herself,88617.55,65
Clothing,Today Winterwear Society,87678.56,66
Clothing,Mind Footwear Challenge,87561.92,67
Clothing,Example Women Social,87215.54,68
Clothing,Her Women Stage,84577.08,69
Clothing,Remain Footwear Behind,84228.23,70
Clothing,Begin Men Back,84208.61,71
Clothing,Keep Winterwear Which,80050.95,72
Clothing,Loss Winterwear Fine,79195.78,73
Clothing,Similar Kid Age,79160.56,74
Clothing,Police Men Us,77361.99,75
Clothing,Military Footwear Strategy,74658.85,76
Clothing,With Kid I,74098.36,77
Clothing,Life Women Suddenly,73911.13,78
Clothing,Among Men Official,70715.87,79
Clothing,Interview Kid Specific,69816.93,80
Clothing,Economy Kid Much,68906.15,81
Clothing,Power Footwear Threat,68460.75,82
Clothing,Get Men Practice,66952.55,83
Clothing,Always Kid How,63254.84,84
Clothing,Report Winterwear By,61091.47,85
Clothing,Option Winterwear Improve,58681.06,86
Clothing,Lead Men Recently,57693.43,87
