customer_id,order_date,previous_order_date,days_gap,risk_status
C00001,2024-11-27 16:42:47,,,Active
C00003,2024-09-16 18:31:54,,,Active
C00004,2024-01-25 18:55:09,,,Active
C00005,2023-05-18 04:11:53,,,Active
C00006,2023-12-31 04:20:53,,,At Risk
C00006,2024-03-05 22:26:19,2023-12-31 04:20:53,65.8,At Risk
C00006,2024-05-29 17:13:20,2024-03-05 22:26:19,84.8,At Risk
C00007,2023-08-13 07:28:37,,,Active
C00008,2024-07-29 21:14:29,,,Active
C00010,2023-04-04 10:14:27,,,At Risk
C00010,2023-08-16 04:30:45,2023-04-04 10:14:27,133.8,At Risk
C00010,2023-09-27 08:26:45,2023-08-16 04:30:45,42.2,At Risk
C00010,2024-01-02 00:10:14,2023-09-27 08:26:45,96.7,At Risk
C00011,2023-05-06 07:28:23,,,At Risk
C00011,2024-05-16 07:04:58,2023-05-06 07:28:23,376.0,At Risk
C00011,2024-06-19 08:33:03,2024-05-16 07:04:58,34.1,At Risk
C00013,2023-11-08 22:55:27,,,At Risk
C00013,2023-12-20 06:50:49,2023-11-08 22:55:27,41.3,At Risk
C00014,2024-08-21 19:14:45,,,Active
C00015,2023-03-12 12:14:56,,,At Risk
C00015,2024-04-03 00:00:00,2023-03-12 12:14:56,387.5,At Risk
C00015,2024-08-14 00:00:00,2024-04-03 00:00:00,133.0,At Risk
C00016,2023-02-20 18:29:44,,,Active
C00018,2023-01-30 09:51:19,,,At Risk
C00018,2023-06-04 16:58:55,2023-01-30 09:51:19,125.3,At Risk
C00019,2023-01-26 12:33:03,,,At Risk
C00019,2024-01-14 15:35:37,2023-01-26 12:33:03,353.1,At Risk
C00019,2024-03-04 10:27:26,2024-01-14 15:35:37,49.8,At Risk
C00020,2023-03-09 23:30:28,,,Active
C00021,2023-04-14 14:12:48,,,At Risk
C00021,2023-06-19 23:05:02,2023-04-14 14:12:48,66.4,At Risk
C00021,2023-11-29 19:57:52,2023-06-19 23:05:02,162.9,At Risk
C00021,2024-06-14 03:40:46,2023-11-29 19:57:52,197.3,At Risk
C00022,2024-01-30 00:51:51,,,At Risk
C00022,2024-06-03 07:20:20,2024-01-30 00:51:51,125.3,At Risk
C00023,2023-02-01 02:44:52,,,At Risk
C00023,2023-02-21 10:56:25,2023-02-01 02:44:52,20.3,At Risk
C00023,2024-10-10 17:07:57,2023-02-21 10:56:25,597.3,At Risk
C00023,2024-12-18 20:34:58,2024-10-10 17:07:57,69.1,At Risk
C00024,2024-06-04 17:58:44,,,Active
C00025,2024-12-20 14:55:43,,,Active
C00026,2023-03-24 06:37:15,,,Active
C00027,2023-11-22 21:34:10,,,Active
C00028,2023-01-11 01:41:22,,,Active
C00029,2024-04-17 08:45:36,,,Active
