year_month,revenue_category,customer_count
2023-01,High,22
2023-01,Low,2
2023-01,Medium,2
2023-02,High,21
2023-02,Medium,1
2023-03,High,37
2023-03,Low,2
2023-03,Medium,1
2023-04,High,22
2023-04,Low,3
2023-05,High,33
2023-05,Low,1
2023-06,High,21
2023-06,Medium,1
2023-07,High,21
2023-07,Medium,1
2023-08,High,23
2023-08,Low,6
2023-09,High,19
2023-09,Medium,3
2023-10,High,20
2023-10,Low,2
2023-10,Medium,3
2023-11,High,22
2023-11,Low,2
2023-11,Medium,1
2023-12,High,31
2023-12,Low,2
2023-12,Medium,1
2024-01,High,29
2024-01,Low,2
2024-02,High,29
2024-03,High,31
2024-03,Low,1
2024-03,Medium,1
2024-04,High,20
2024-04,Medium,1
2024-05,High,23
2024-05,Low,2
2024-05,Medium,1
2024-06,High,38
2024-06,Low,2
2024-06,Medium,3
2024-07,High,29
2024-07,Low,2
2024-08,High,29
2024-08,Low,3
2024-08,Medium,1
2024-09,High,19
2024-09,Low,2
2024-09,Medium,2
2024-10,High,14
2024-10,Low,1
2024-11,High,26
2024-11,Low,1
2024-12,High,21
2024-12,Low,1
