customer_id,total_value,quartile,quartile_label
C00455,677810.19,1,Platinum
C00160,647315.79,1,Platinum
C00252,590924.07,1,Platinum
C00203,559998.07,1,Platinum
C00180,549375.65,1,Platinum
C00227,519830.87,1,Platinum
C00306,512575.09,1,Platinum
C00373,488607.25,1,Platinum
C00350,472642.75,1,Platinum
C00339,464426.09,1,Platinum
C00059,451600.49,1,Platinum
C00292,440922.98,1,Platinum
C00287,431399.65,1,Platinum
C00360,404225.06,1,Platinum
C00104,398105.76,1,Platinum
C00010,397309.29,1,Platinum
C00366,382719.97,1,Platinum
C00312,380363.48,1,Platinum
C00367,376069.69,1,Platinum
C00068,371603.75,1,Platinum
C00013,368928.73,1,Platinum
C00368,365426.82,1,Platinum
C00088,358281.52,1,Platinum
C00470,356504.29,1,Platinum
C00184,347072.67,1,Platinum
C00421,343062.56,1,Platinum
C00497,341501.47,1,Platinum
C00185,331840.48,1,Platinum
C00156,330742.0,1,Platinum
C00323,329880.07,1,Platinum
C00181,327854.01,1,Platinum
C00055,324595.55,1,Platinum
C00248,317685.17,1,Platinum
C00253,314572.01,1,Platinum
C00060,314547.64,1,Platinum
C00079,309823.05,1,Platinum
C00047,301475.69,1,Platinum
C00448,300689.73,1,Platinum
C00371,299217.23,1,Platinum
C00437,298995.82,1,Platinum
C00209,298459.81,1,Platinum
C00439,295522.25,1,Platinum
C00226,292892.25,1,Platinum
C00163,288665.5,1,Platinum
C00277,286572.43,1,Platinum
C00297,283933.82,1,Platinum
C00157,283609.65,1,Platinum
C00388,282729.28,1,Platinum
C00032,278072.92,1,Platinum
C00067,277986.4,1,Platinum
C00424,274455.32,1,Platinum
C00447,273832.28,1,Platinum
C00299,273174.46,1,Platinum
C00194,263233.75,1,Platinum
C00411,263076.8,1,Platinum
C00490,262457.23,1,Platinum
C00303,262415.33,1,Platinum
C00081,261261.32,1,Platinum
C00422,255955.92,1,Platinum
C00097,254881.83,1,Platinum
C00223,254522.74,1,Platinum
C00341,253787.85,1,Platinum
C00383,253768.12,1,Platinum
C00467,251898.57,1,Platinum
