year,month,revenue,prev_year_revenue,yoy_growth_percent
2023,01,2507672.0,,
2023,02,2418365.11,,
2023,03,3684468.25,,
2023,04,2189413.77,,
2023,05,2706247.41,,
2023,06,2780664.56,,
2023,07,1998670.3,,
2023,08,1881676.68,,
2023,09,1941902.88,,
2023,10,2194332.89,,
2023,11,2291790.62,,
2023,12,2961217.78,,
2024,01,2807407.47,2507672.0,11.95
2024,02,2254588.28,2418365.11,-6.77
2024,03,3524251.51,3684468.25,-4.35
2024,04,2060379.66,2189413.77,-5.89
2024,05,2233830.1,2706247.41,-17.46
2024,06,3898083.37,2780664.56,40.19
2024,07,3016818.55,1998670.3,50.94
2024,08,2005440.54,1881676.68,6.58
2024,09,1698984.11,1941902.88,-12.51
2024,10,1294134.53,2194332.89,-41.02
2024,11,2709748.23,2291790.62,18.24
2024,12,2436376.42,2961217.78,-17.72
