customer_id,first_category,last_category,category_shift
C00001,Clothing,Electronics,Yes
C00004,Books,Books,No
C00005,Books,Electronics,Yes
C00006,Clothing,Electronics,Yes
C00007,Books,Electronics,Yes
C00008,Clothing,Electronics,Yes
C00010,Books,Home,Yes
C00011,Electronics,Electronics,No
C00013,Electronics,Books,Yes
C00014,Electronics,Electronics,No
C00015,Home,Home,No
C00016,Electronics,Electronics,No
C00018,Electronics,Home,Yes
C00019,Home,Clothing,Yes
C00020,Books,Electronics,Yes
C00021,Clothing,Clothing,No
C00022,Clothing,Home,Yes
C00023,Electronics,Books,Yes
C00024,Home,Books,Yes
C00025,Home,Electronics,Yes
C00026,Electronics,Home,Yes
C00027,Clothing,Electronics,Yes
C00028,Clothing,Home,Yes
C00029,Books,Electronics,Yes
C00030,Home,Home,No
C00031,Clothing,Electronics,Yes
C00032,Electronics,Home,Yes
C00033,Home,Electronics,Yes
C00034,Electronics,Electronics,No
C00037,Books,Clothing,Yes
C00039,Electronics,Electronics,No
C00041,Home,Electronics,Yes
C00042,Books,Clothing,Yes
C00043,Home,Home,No
C00044,Electronics,Electronics,No
C00045,Clothing,Electronics,Yes
C00046,Books,Books,No
C00047,Electronics,Books,Yes
C00048,Electronics,Clothing,Yes
C00049,Books,Electronics,Yes
C00050,Clothing,Clothing,No
C00053,Electronics,Clothing,Yes
C00055,Books,Clothing,Yes
C00056,Electronics,Books,Yes
C00057,Books,Electronics,Yes
C00058,Clothing,Electronics,Yes
C00059,Electronics,Home,Yes
C00060,Electronics,Clothing,Yes
C00061,Books,Clothing,Yes
C00062,Electronics,Electronics,No
C00063,Electronics,Home,Yes
C00064,Electronics,Clothing,Yes
C00065,Books,Books,No
C00066,Electronics,Clothing,Yes
C00067,Home,Home,No
C00068,Clothing,Home,Yes
C00069,Electronics,Books,Yes
C00070,Clothing,Clothing,No
C00071,Electronics,Clothing,Yes
C00072,Clothing,Books,Yes
C00074,Books,Home,Yes
C00075,Books,Electronics,Yes
C00076,Clothing,Home,Yes
C00077,Electronics,Books,Yes
C00078,Electronics,Clothing,Yes
C00079,Electronics,Clothing,Yes
C00080,Clothing,Books,Yes
