customer_id,revenue,cumulative_revenue,cumulative_percent
C00455,677810.19,677810.19,1.21
C00160,647315.79,1325125.98,2.36
C00252,590924.07,1916050.06,3.41
C00203,559998.07,2476048.12,4.41
C00180,549375.65,3025423.78,5.38
C00227,519830.87,3545254.65,6.31
C00306,512575.09,4057829.74,7.22
C00373,488607.25,4546436.99,8.09
C00350,472642.75,5019079.74,8.93
C00339,464426.09,5483505.83,9.76
C00059,451600.49,5935106.32,10.56
C00292,440922.98,6376029.29,11.35
C00287,431399.65,6807428.95,12.12
C00360,404225.06,7211654.01,12.84
C00104,398105.76,7609759.77,13.54
C00010,397309.29,8007069.06,14.25
C00366,382719.97,8389789.02,14.93
C00312,380363.48,8770152.5,15.61
C00367,376069.69,9146222.19,16.28
C00068,371603.75,9517825.94,16.94
C00013,368928.73,9886754.67,17.6
C00368,365426.82,10252181.49,18.25
C00088,358281.52,10610463.01,18.89
C00470,356504.29,10966967.3,19.52
C00184,347072.67,11314039.97,20.14
C00421,343062.56,11657102.54,20.75
C00497,341501.47,11998604.0,21.36
C00185,331840.48,12330444.48,21.95
C00156,330742.0,12661186.48,22.54
C00323,329880.07,12991066.55,23.12
C00181,327854.01,13318920.56,23.71
C00055,324595.55,13643516.12,24.28
C00248,317685.17,13961201.29,24.85
C00253,314572.01,14275773.3,25.41
C00060,314547.64,14590320.94,25.97
C00079,309823.05,14900143.99,26.52
C00047,301475.69,15201619.68,27.06
C00448,300689.73,15502309.41,27.59
C00371,299217.23,15801526.64,28.12
C00437,298995.82,16100522.45,28.66
C00209,298459.81,16398982.27,29.19
C00439,295522.25,16694504.52,29.71
C00226,292892.25,16987396.77,30.24
C00163,288665.5,17276062.27,30.75
C00277,286572.43,17562634.7,31.26
C00297,283933.82,17846568.51,31.76
C00157,283609.65,18130178.17,32.27
C00388,282729.28,18412907.45,32.77
C00032,278072.92,18690980.37,33.27
C00067,277986.4,18968966.76,33.76
C00424,274455.32,19243422.08,34.25
C00447,273832.28,19517254.36,34.74
C00299,273174.46,19790428.83,35.22
C00194,263233.75,20053662.58,35.69
C00411,263076.8,20316739.38,36.16
C00490,262457.23,20579196.61,36.63
C00303,262415.33,20841611.94,37.1
C00081,261261.32,21102873.26,37.56
C00422,255955.92,21358829.18,38.02
C00097,254881.83,21613711.01,38.47
C00223,254522.74,21868233.75,38.92
C00341,253787.85,22122021.6,39.37
C00383,253768.12,22375789.72,39.83
C00467,251898.57,22627688.29,40.27
C00098,250683.41,22878371.7,40.72
C00077,250411.72,23128783.42,41.17
C00111,243188.73,23371972.15,41.6
C00195,242666.62,23614638.77,42.03
C00471,242027.69,23856666.46,42.46
C00478,240973.2,24097639.66,42.89
C00295,240081.8,24337721.46,43.32
C00033,239342.94,24577064.41,43.74
C00096,238579.01,24815643.41,44.17
C00110,236602.94,25052246.36,44.59
C00337,236462.37,25288708.73,45.01
C00348,234615.15,25523323.88,45.43
C00399,234325.78,25757649.66,45.85
