cohort_month,month_number,active_customers,cohort_size,retention_rate_percent
2022-11,3,1,14,7.14
2022-12,3,1,8,12.5
2023-01,0,1,12,8.33
2023-01,2,1,12,8.33
2023-02,0,1,15,6.67
2023-02,1,1,15,6.67
2023-02,2,1,15,6.67
2023-03,0,1,6,16.67
2023-03,1,1,6,16.67
2023-04,1,2,8,25.0
2023-04,2,1,8,12.5
2023-04,3,1,8,12.5
2023-05,1,1,5,20.0
2023-05,3,2,5,40.0
2023-06,0,1,12,8.33
2023-07,0,1,12,8.33
2023-07,1,2,12,16.67
2023-08,0,2,14,14.29
2023-08,2,1,14,7.14
2023-09,1,1,10,10.0
2023-09,3,1,10,10.0
2023-10,1,1,7,14.29
2023-10,2,2,7,28.57
2023-10,3,1,7,14.29
2023-11,0,1,9,11.11
2023-11,2,1,9,11.11
2023-12,1,2,9,22.22
2024-01,3,1,13,7.69
2024-02,0,1,12,8.33
2024-02,2,1,12,8.33
2024-03,0,1,13,7.69
2024-03,1,1,13,7.69
2024-03,2,1,13,7.69
2024-04,2,1,13,7.69
2024-04,3,1,13,7.69
2024-05,1,1,10,10.0
2024-05,2,1,10,10.0
2024-06,0,1,10,10.0
2024-06,2,1,10,10.0
2024-06,3,1,10,10.0
2024-07,1,1,12,8.33
2024-07,2,2,12,16.67
2024-08,0,2,14,14.29
2024-08,2,1,14,7.14
2024-08,3,2,14,14.29
2024-09,0,1,12,8.33
2024-09,3,2,12,16.67
2024-10,1,2,15,13.33
2024-10,2,1,15,6.67
2024-11,0,1,11,9.09
2024-11,1,1,11,9.09
