customer_id,current_order_id,current_order_date,next_order_id,next_order_date,days_until_next_order
C00001,O000142,2024-11-27 16:42:47,,,
C00003,O000155,2024-09-16 18:31:54,,,
C00004,O000127,2024-01-25 18:55:09,,,
C00005,O000190,2023-05-18 04:11:53,,,
C00006,O000415,2023-12-31 04:20:53,O000098,2024-03-05 22:26:19,65.8
C00006,O000098,2024-03-05 22:26:19,O000117,2024-05-29 17:13:20,84.8
C00006,O000117,2024-05-29 17:13:20,,,
C00007,O000429,2023-08-13 07:28:37,,,
C00008,O000421,2024-07-29 21:14:29,,,
C00010,O000783,2023-04-04 10:14:27,O000294,2023-08-16 04:30:45,133.8
C00010,O000294,2023-08-16 04:30:45,O000298,2023-09-27 08:26:45,42.2
C00010,O000298,2023-09-27 08:26:45,O000462,2024-01-02 00:10:14,96.7
C00010,O000462,2024-01-02 00:10:14,,,
C00011,O000722,2023-05-06 07:28:23,O000638,2024-05-16 07:04:58,376.0
C00011,O000638,2024-05-16 07:04:58,O000239,2024-06-19 08:33:03,34.1
C00011,O000239,2024-06-19 08:33:03,,,
C00013,O000534,2023-11-08 22:55:27,O000501,2023-12-20 06:50:49,41.3
C00013,O000501,2023-12-20 06:50:49,,,
C00014,O000205,2024-08-21 19:14:45,,,
C00015,O000572,2023-03-12 12:14:56,O000602,2024-04-03 00:00:00,387.5
C00015,O000602,2024-04-03 00:00:00,O000648,2024-08-14 00:00:00,133.0
C00015,O000648,2024-08-14 00:00:00,,,
C00016,O000384,2023-02-20 18:29:44,,,
C00018,O000410,2023-01-30 09:51:19,O000229,2023-06-04 16:58:55,125.3
C00018,O000229,2023-06-04 16:58:55,,,
C00019,O000597,2023-01-26 12:33:03,O000718,2024-01-14 15:35:37,353.1
C00019,O000718,2024-01-14 15:35:37,O000114,2024-03-04 10:27:26,49.8
C00019,O000114,2024-03-04 10:27:26,,,
C00020,O000089,2023-03-09 23:30:28,,,
C00021,O000470,2023-04-14 14:12:48,O000120,2023-06-19 23:05:02,66.4
C00021,O000120,2023-06-19 23:05:02,O000073,2023-11-29 19:57:52,162.9
C00021,O000073,2023-11-29 19:57:52,O000082,2024-06-14 03:40:46,197.3
C00021,O000082,2024-06-14 03:40:46,,,
C00022,O000736,2024-01-30 00:51:51,O000121,2024-06-03 07:20:20,125.3
C00022,O000121,2024-06-03 07:20:20,,,
C00023,O000496,2023-02-01 02:44:52,O000570,2023-02-21 10:56:25,20.3
C00023,O000570,2023-02-21 10:56:25,O000248,2024-10-10 17:07:57,597.3
C00023,O000248,2024-10-10 17:07:57,O000285,2024-12-18 20:34:58,69.1
C00023,O000285,2024-12-18 20:34:58,,,
C00024,O000779,2024-06-04 17:58:44,,,
C00025,O000068,2024-12-20 14:55:43,,,
C00026,O000377,2023-03-24 06:37:15,,,
C00027,O000332,2023-11-22 21:34:10,,,
C00028,O000069,2023-01-11 01:41:22,,,
C00029,O000535,2024-04-17 08:45:36,,,
C00030,O000747,2024-05-05 14:01:05,,,
C00031,O000443,2023-07-20 13:54:59,,,
C00032,O000399,2023-10-14 18:48:48,O000065,2024-06-20 09:37:15,249.6
C00032,O000065,2024-06-20 09:37:15,,,
C00033,O000156,2023-07-24 08:23:25,,,
C00034,O000316,2023-05-18 12:58:36,,,
C00037,O000503,2023-10-26 22:40:10,,,
C00039,O000020,2024-07-16 00:12:12,,,
C00041,O000567,2023-11-26 22:56:25,,,
C00042,O000111,2024-10-15 20:09:31,,,
C00043,O000085,2023-03-16 12:45:27,O000278,2024-01-05 14:34:25,295.1
C00043,O000278,2024-01-05 14:34:25,,,
